Day,SPY_Price,SPY_Return,VIX_Level,VIX_Return,Is_Spike,Baseline_Invested_Today,Baseline_Shares,Baseline_Equity,Strategy_Invested_Today,Strategy_Shares,Strategy_Equity,Excess_Return_Dollars
01.01.2021,100.0,0.0,15.0,0.0,0,500.0,0.0,500.0,0.0,0.0,500.0,0.0
04.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.06,0.06
05.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.12,0.12
06.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.18,0.18
07.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.23,0.23
08.01.2021,101.95,0.0195,10.68,-28.8223,0,0.0,0.0,509.76,0.0,0.0,500.29,-9.46
11.01.2021,100.33,-0.0159,12.59,17.952,1,0.0,0.0,501.63,673.73,0.0,500.35,-1.28
12.01.2021,101.97,0.0164,10.08,-19.9884,0,0.0,0.0,509.83,0.0,0.0,511.37,1.54
13.01.2021,104.88,0.0285,10.22,1.4159,0,0.0,0.0,524.38,0.0,0.0,530.91,6.53
14.01.2021,104.48,-0.0038,10.92,6.8197,1,0.0,0.0,522.41,0.0,0.0,528.26,5.85
15.01.2021,104.17,-0.003,12.65,15.9104,1,0.0,0.0,520.84,0.0,0.0,526.16,5.31
18.01.2021,105.1,0.0089,12.82,1.286,0,0.0,0.0,525.5,0.0,0.0,532.41,6.91
19.01.2021,104.4,-0.0067,12.98,1.2911,0,0.0,0.0,522.0,0.0,0.0,527.71,5.71
20.01.2021,103.95,-0.0043,14.37,10.69,0,0.0,0.0,519.76,0.0,0.0,524.7,4.94
21.01.2021,105.0,0.0101,14.25,-0.8157,0,0.0,0.0,525.01,0.0,0.0,531.75,6.74
22.01.2021,105.76,0.0072,13.03,-8.587,0,0.0,0.0,528.81,0.0,0.0,536.86,8.05
25.01.2021,105.13,-0.006,17.59,35.0552,1,0.0,0.0,525.64,0.0,0.0,532.6,6.96
26.01.2021,103.81,-0.0126,19.39,10.1989,1,0.0,0.0,519.03,0.0,0.0,523.72,4.69
27.01.2021,102.91,-0.0086,20.7,6.7426,1,0.0,0.0,514.54,0.0,0.0,517.7,3.15
28.01.2021,105.37,0.0239,18.07,-12.6858,0,0.0,0.0,526.84,0.0,0.0,534.22,7.37
29.01.2021,104.82,-0.0052,18.9,4.6196,0,0.0,0.0,524.09,0.0,0.0,530.53,6.43
01.02.2021,104.1,-0.0069,20.14,6.5214,0,500.0,0.0,1020.48,0.0,0.0,1025.67,5.19
02.02.2021,103.28,-0.0078,23.92,18.7918,1,0.0,0.0,1012.53,169.69,0.0,1020.26,7.73
03.02.2021,100.16,-0.0302,22.44,-6.2084,0,0.0,0.0,981.92,0.0,0.0,994.18,12.26
04.02.2021,101.29,0.0112,19.75,-11.9948,0,0.0,0.0,992.95,0.0,0.0,1003.61,10.66
05.02.2021,104.01,0.0269,17.28,-12.4654,0,0.0,0.0,1019.64,0.0,0.0,1026.38,6.74
08.02.2021,104.74,0.007,15.87,-8.1578,0,0.0,0.0,1026.81,0.0,0.0,1032.51,5.7
09.02.2021,103.99,-0.0072,18.15,14.3609,0,0.0,0.0,1019.41,0.0,0.0,1026.22,6.81
10.02.2021,103.36,-0.0061,18.81,3.6166,0,0.0,0.0,1013.22,0.0,0.0,1020.96,7.74
