Day,SPY_Price,SPY_Return,VIX_Level,VIX_Return,Is_Spike,Baseline_Invested_Today,Baseline_Shares,Baseline_Equity,Strategy_Invested_Today,Strategy_Shares,Strategy_Equity,Excess_Return_Dollars
01.01.2021,100.0,0.0,15.0,0.0,0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0
04.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.12,0.12
05.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.23,0.23
06.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.35,0.35
07.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.47,0.47
08.01.2021,99.77,-0.0023,15.87,5.8027,1,0.0,0.0,997.69,2636.67,0.0,1000.59,2.9
11.01.2021,98.72,-0.0105,17.78,12.0138,1,0.0,0.0,987.16,0.0,0.0,972.39,-14.77
12.01.2021,98.02,-0.007,16.75,-5.7722,0,0.0,0.0,980.25,0.0,0.0,953.74,-26.51
13.01.2021,99.04,0.0103,14.36,-14.2977,0,0.0,0.0,990.39,0.0,0.0,980.16,-10.23
14.01.2021,97.85,-0.0121,16.83,17.2545,1,0.0,0.0,978.45,0.0,0.0,948.24,-30.22
15.01.2021,97.36,-0.005,16.97,0.8188,0,0.0,0.0,973.56,0.0,0.0,934.91,-38.64
18.01.2021,97.3,-0.0006,18.31,7.879,0,0.0,0.0,972.99,0.0,0.0,933.05,-39.94
19.01.2021,97.83,0.0055,19.0,3.7639,0,0.0,0.0,978.33,0.0,0.0,946.77,-31.56
20.01.2021,99.68,0.0188,16.23,-14.579,0,0.0,0.0,996.76,0.0,0.0,995.09,-1.67
21.01.2021,98.86,-0.0082,17.35,6.9267,0,0.0,0.0,988.58,0.0,0.0,973.12,-15.47
22.01.2021,96.02,-0.0288,22.45,29.3979,1,0.0,0.0,960.16,0.0,0.0,897.62,-62.54
25.01.2021,96.16,0.0015,22.24,-0.9507,0,0.0,0.0,961.56,0.0,0.0,900.95,-60.62
26.01.2021,96.33,0.0018,21.49,-3.3895,0,0.0,0.0,963.3,0.0,0.0,905.16,-58.14
27.01.2021,97.51,0.0122,21.47,-0.0478,0,0.0,0.0,975.08,0.0,0.0,935.91,-39.17
28.01.2021,95.53,-0.0203,24.21,12.7432,1,0.0,0.0,955.27,0.0,0.0,883.18,-72.09
29.01.2021,94.23,-0.0136,24.7,2.0163,0,0.0,0.0,942.33,0.0,0.0,848.59,-93.74
01.02.2021,92.57,-0.0177,27.0,9.3002,1,1000.0,0.0,1925.67,0.0,0.0,1804.2,-121.48
02.02.2021,93.69,0.0121,24.51,-9.2239,0,0.0,0.0,1949.06,0.0,0.0,1833.75,-115.3
03.02.2021,92.69,-0.0107,26.23,7.041,0,0.0,0.0,1928.29,0.0,0.0,1807.22,-121.06
04.02.2021,93.11,0.0045,24.81,-5.4287,0,0.0,0.0,1937.04,0.0,0.0,1818.19,-118.85
05.02.2021,91.63,-0.0159,29.13,17.4291,1,0.0,0.0,1906.26,0.0,0.0,1778.94,-127.32
08.02.2021,91.42,-0.0023,30.38,4.2847,1,0.0,0.0,1901.87,0.0,0.0,1773.22,-128.65
09.02.2021,90.45,-0.0106,31.18,2.6277,1,0.0,0.0,1881.64,0.0,0.0,1747.36,-134.27
10.02.2021,88.39,-0.0228,35.88,15.0803,1,0.0,0.0,1838.69,0.0,0.0,1692.65,-146.04
11.02.2021,88.44,0.0006,33.28,-7.2476,0,0.0,0.0,1839.72,0.0,0.0,1693.82,-145.9
