Day,SPY_Price,SPY_Return,VIX_Level,VIX_Return,Is_Spike,Baseline_Invested_Today,Baseline_Shares,Baseline_Equity,Strategy_Invested_Today,Strategy_Shares,Strategy_Equity,Excess_Return_Dollars
01.01.2021,100.0,0.0,15.0,0.0,0,1000.0,0.0,1000.0,0.0,0.0,1000.0,0.0
04.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.12,0.12
05.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.23,0.23
06.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.35,0.35
07.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,1000.0,0.0,0.0,1000.47,0.47
08.01.2021,98.39,-0.0161,19.76,31.7585,1,0.0,0.0,983.85,4235.64,0.0,1000.59,16.74
11.01.2021,101.95,0.0362,15.24,-22.8994,0,0.0,0.0,1019.46,0.0,0.0,1153.87,134.41
12.01.2021,102.85,0.0089,12.66,-16.9062,0,0.0,0.0,1028.48,0.0,0.0,1192.73,164.25
13.01.2021,103.01,0.0015,16.42,29.6504,1,0.0,0.0,1030.05,0.0,0.0,1199.5,169.44
14.01.2021,102.81,-0.0019,16.2,-1.3133,0,0.0,0.0,1028.11,0.0,0.0,1191.13,163.02
15.01.2021,102.4,-0.004,16.06,-0.8911,0,0.0,0.0,1024.0,0.0,0.0,1173.43,149.43
18.01.2021,103.55,0.0112,18.38,14.4454,0,0.0,0.0,1035.51,0.0,0.0,1222.97,187.46
19.01.2021,102.78,-0.0075,18.6,1.2427,0,0.0,0.0,1027.76,0.0,0.0,1189.61,161.86
20.01.2021,103.05,0.0027,19.54,5.0463,0,0.0,0.0,1030.55,0.0,0.0,1201.62,171.08
21.01.2021,104.08,0.01,18.25,-6.6266,0,0.0,0.0,1040.84,0.0,0.0,1245.95,205.1
22.01.2021,104.06,-0.0002,19.61,7.4842,0,0.0,0.0,1040.6,0.0,0.0,1244.88,204.28
25.01.2021,102.45,-0.0155,23.83,21.4825,1,0.0,0.0,1024.49,0.0,0.0,1175.53,151.04
26.01.2021,101.32,-0.011,25.33,6.2936,1,0.0,0.0,1013.23,0.0,0.0,1127.09,113.85
27.01.2021,102.35,0.0101,24.19,-4.4759,0,0.0,0.0,1023.49,0.0,0.0,1171.24,147.75
28.01.2021,101.11,-0.0121,23.8,-1.6396,0,0.0,0.0,1011.06,0.0,0.0,1117.74,106.68
29.01.2021,100.28,-0.0082,21.28,-10.5755,0,0.0,0.0,1002.78,0.0,0.0,1082.07,79.3
01.02.2021,97.98,-0.0229,24.54,15.3124,1,1000.0,0.0,1979.77,0.0,0.0,1983.01,3.24
02.02.2021,98.43,0.0046,23.32,-4.9818,0,0.0,0.0,1988.88,0.0,0.0,2002.42,13.54
03.02.2021,99.95,0.0154,21.14,-9.3157,0,0.0,0.0,2019.55,0.0,0.0,2067.76,48.21
04.02.2021,100.43,0.0048,20.84,-1.4331,0,0.0,0.0,2029.33,0.0,0.0,2088.61,59.28
05.02.2021,101.98,0.0154,18.48,-11.3427,0,0.0,0.0,2060.57,0.0,0.0,2155.16,94.59
08.02.2021,102.96,0.0096,18.04,-2.3813,0,0.0,0.0,2080.42,0.0,0.0,2197.46,117.04
09.02.2021,102.69,-0.0026,19.53,8.2705,0,0.0,0.0,2074.96,0.0,0.0,2185.82,110.86
10.02.2021,104.17,0.0144,19.62,0.444,0,0.0,0.0,2104.89,0.0,0.0,2249.59,144.7
11.02.2021,104.33,0.0016,19.29,-1.6406,0,0.0,0.0,2108.2,0.0,0.0,2256.65,148.45
