Day,SPY_Price,SPY_Return,VIX_Level,VIX_Return,Is_Spike,Baseline_Invested_Today,Baseline_Shares,Baseline_Equity,Strategy_Invested_Today,Strategy_Shares,Strategy_Equity,Excess_Return_Dollars
01.01.2021,100.0,0.0,15.0,0.0,0,500.0,0.0,500.0,0.0,0.0,500.0,0.0
04.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.06,0.06
05.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.12,0.12
06.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.18,0.18
07.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.23,0.23
08.01.2021,101.12,0.0112,13.41,-10.5725,0,0.0,0.0,505.59,0.0,0.0,500.29,-5.3
11.01.2021,100.5,-0.0062,12.1,-9.7909,0,0.0,0.0,502.48,0.0,0.0,500.35,-2.12
12.01.2021,101.47,0.0097,12.4,2.467,0,0.0,0.0,507.35,0.0,0.0,500.41,-6.94
13.01.2021,101.88,0.004,10.8,-12.8915,0,0.0,0.0,509.39,0.0,0.0,500.47,-8.92
14.01.2021,101.06,-0.008,12.67,17.2885,1,0.0,0.0,505.31,2995.9,0.0,500.53,-4.78
15.01.2021,99.29,-0.0175,14.16,11.7653,1,0.0,0.0,496.44,0.0,0.0,447.95,-48.49
18.01.2021,101.46,0.0219,12.46,-12.012,0,0.0,0.0,507.31,0.0,0.0,512.43,5.12
19.01.2021,100.87,-0.0059,13.66,9.6594,0,0.0,0.0,504.34,0.0,0.0,494.78,-9.56
20.01.2021,98.46,-0.0239,15.22,11.3738,1,0.0,0.0,492.3,0.0,0.0,423.45,-68.86
21.01.2021,98.05,-0.0041,15.93,4.6862,0,0.0,0.0,490.27,0.0,0.0,411.39,-78.88
22.01.2021,98.57,0.0053,13.45,-15.5603,0,0.0,0.0,492.87,0.0,0.0,426.79,-66.08
25.01.2021,97.31,-0.0128,14.19,5.5344,0,0.0,0.0,486.56,0.0,0.0,389.41,-97.15
26.01.2021,98.12,0.0083,14.56,2.5803,0,0.0,0.0,490.62,0.0,0.0,413.46,-77.16
27.01.2021,97.96,-0.0017,13.87,-4.7188,0,0.0,0.0,489.78,0.0,0.0,408.5,-81.29
28.01.2021,97.86,-0.001,14.12,1.744,0,0.0,0.0,489.29,0.0,0.0,405.56,-83.73
29.01.2021,97.54,-0.0033,17.13,21.3306,1,0.0,0.0,487.69,0.0,0.0,396.1,-91.59
01.02.2021,98.85,0.0134,15.36,-10.3398,0,500.0,0.0,994.25,0.0,0.0,934.99,-59.26
02.02.2021,100.69,0.0186,13.39,-12.7811,0,0.0,0.0,1012.75,0.0,0.0,989.52,-23.23
03.02.2021,99.92,-0.0076,14.92,11.3706,0,0.0,0.0,1005.01,0.0,0.0,966.71,-38.31
04.02.2021,99.92,0.0,17.06,14.3783,1,0.0,0.0,1005.02,0.0,0.0,966.73,-38.29
05.02.2021,98.22,-0.017,20.15,18.112,1,0.0,0.0,987.91,0.0,0.0,916.31,-71.6
08.02.2021,100.83,0.0266,13.15,-34.744,0,0.0,0.0,1014.15,0.0,0.0,993.65,-20.5
09.02.2021,100.8,-0.0003,12.84,-2.3178,0,0.0,0.0,1013.86,0.0,0.0,992.77,-21.09
10.02.2021,100.73,-0.0007,15.88,23.6657,1,0.0,0.0,1013.16,0.0,0.0,990.73,-22.43
